Plot ID,Row,Column,Accession,PECO:0007167,PECO:0007102,width,length,Rack,Sowing date,Harvest date,HI_CalcGbSamp_%,SpkPop_CalcGbSamp_m2,WtGrSp_CalcGbSamp_g,TGrUa_CalcFh_m2,GrNoSp_CalcGbSamp_No,TGW_CalcTGW_g,GrnYld100_Fh_tha,GrnYld85_Fh_tha,StrwYld100_CalcGbSamp_tha,StrwYld85_CalcGbSamp_tha,BioYld100_CalcGbSamp_tha,BmsNUpE_CalcFh_kgNOff/kg_Navail,BmsNUtE_CalcFh_kg_biomass/kg_Noff,GrnNUpE_CalcFh_kgNOff/kg_Navail,GrnNUE_CalcFh_kg_grain/kg_Navail,GrnNUtE_CalcFh_kg_grain/kg_Noff,GPD_CalcFh_%,Nsur_CalcFh_kgha,GrnNCnc_Com_%,GrnAlCnc_Icp_ppm,GrnAsCnc_Icp_ppm,GrnCaCnc_Icp_ppm,GrnCdCnc_Icp_ppm,GrnCoCnc_Icp_ppm,GrnCrCnc_Icp_ppm,GrnCuCnc_Icp_ppm,GrnFeCnc_Icp_ppm,GrnKCnc_Icp_ppm,GrnMgCnc_Icp_ppm,GrnMnCnc_Icp_ppm,GrnMoCnc_Icp_ppm,GrnNaCnc_Icp_ppm,GrnPCnc_Icp_ppm,GrnPbCnc_Icp_ppm,GrnSCnc_Icp_ppm,GrnSeCnc_Icp_ppm,GrnTiCnc_Icp_ppm,GrnZnCnc_Icp_ppm,StrwNCnc_Com_%,StrwAlCnc_Icp_ppm,StrwAsCnc_Icp_ppm,StrwCaCnc_Icp_ppm,StrwCdCnc_Icp_ppm,StrwCoCnc_Icp_ppm,StrwCrCnc_Icp_ppm,StrwCuCnc_Icp_ppm,StrwFeCnc_Icp_ppm,StrwKCnc_Icp_ppm,StrwMgCnc_Icp_ppm,StrwMnCnc_Icp_ppm,StrwMoCnc_Icp_ppm,StrwNaCnc_Icp_ppm,StrwNiCnc_Icp_ppm,StrwPCnc_Icp_ppm,StrwPbCnc_Icp_ppm,StrwSCnc_Icp_ppm,StrwSeCnc_Icp_ppm,StrwTiCnc_Icp_ppm,StrwZnCnc_Icp_ppm,BmsNCnc_CalcComb_%,BmsAlCnc_CalcIcp_ppm,BmsAsCnc_CalcIcp_ppm,BmsCaCnc_CalcIcp_ppm,BmsCdCnc_CalcIcp_ppm,BmsCoCnc_CalcIcp_ppm,BmsCrCnc_CalcIcp_ppm,BmsCuCnc_CalcIcp_ppm,BmsFeCnc_CalcIcp_ppm,BmsKCnc_CalcIcp_ppm,BmsMgCnc_CalcIcp_ppm,BmsMnCnc_CalcIcp_ppm,BmsMoCnc_CalcIcp_ppm,BmsNaCnc_CalcIcp_ppm,BmsPCnc_CalcIcp_ppm,BmsPbCnc_CalcIcp_ppm,BmsSCnc_CalcIcp_ppm,BmsSeCnc_CalcIcp_ppm,BmsTiCnc_CalcIcp_ppm,BmsZnCnc_CalcIcp_ppm,GrnNOff_CalcCombYld_kgha,GrnAlOff_CalcIcpYld_kgha,GrnAsOff_CalcIcpYld_kgha,GrnCaOff_CalcIcpYld_kgha,GrnCdOff_CalcIcpYld_kgha,GrnCoOff_CalcIcpYld_kgha,GrnCrOff_CalcIcpYld_kgha,GrnCuOff_CalcIcpYld_kgha,GrnFeOff_CalcIcpYld_kgha,GrnKOff_CalcIcpYld_kgha,GrnMgOff_CalcIcpYld_kgha,GrnMnOff_CalcIcpYld_kgha,GrnMoOff_CalcIcpYld_kgha,GrnNaOff_CalcIcpYld_kgha,GrnPOff_CalcIcpYld_kgha,GrnPbOff_CalcIcpYld_kgha,GrnSOff_CalcIcpYld_kgha,GrnSeOff_CalcIcpYld_kgha,GrnTiOff_CalcIcpYld_kgha,GrnZnOff_CalcIcpYld_kgha,StrwNOff_CalcCombYld_kgha,StrwAlOff_CalcIcpYld_kgha,StrwAsOff_CalcIcpYld_kgha,StrwCaOff_CalcIcpYld_kgha,StrwCdOff_CalcIcpYld_kgha,StrwCoOff_CalcIcpYld_kgha,StrwCrOff_CalcIcpYld_kgha,StrwCuOff_CalcIcpYld_kgha,StrwFeOff_CalcIcpYld_kgha,StrwKOff_CalcIcpYld_kgha,StrwMgOff_CalcIcpYld_kgha,StrwMnOff_CalcIcpYld_kgha,StrwMoOff_CalcIcpYld_kgha,StrwNaOff_CalcIcpYld_kgha,StrwNiOff_CalcIcpYld_kgha,StrwPOff_CalcIcpYld_kgha,StrwPbOff_CalcIcpYld_kgha,StrwSOff_CalcIcpYld_kgha,StrwSeOff_CalcIcpYld_kgha,StrwTiOff_CalcIcpYld_kgha,StrwZnOff_CalcIcpYld_kgha,BmsNOff_CalcCombYld_kgha,BmsAlOff_CalcIcpYld_kgha,BmsAsOff_CalcIcpYld_kgha,BmsCaOff_CalcIcpYld_kgha,BmsCdOff_CalcIcpYld_kgha,BmsCoOff_CalcIcpYld_kgha,BmsCrOff_CalcIcpYld_kgha,BmsCuOff_CalcIcpYld_kgha,BmsFeOff_CalcIcpYld_kgha,BmsKOff_CalcIcpYld_kgha,BmsMgOff_CalcIcpYld_kgha,BmsMnOff_CalcIcpYld_kgha,BmsMoOff_CalcIcpYld_kgha,BmsNaOff_CalcIcpYld_kgha,BmsPOff_CalcIcpYld_kgha,BmsPbOff_CalcIcpYld_kgha,BmsSOff_CalcIcpYld_kgha,BmsSeOff_CalcIcpYld_kgha,BmsTiOff_CalcIcpYld_kgha,BmsZnOff_CalcIcpYld_kgha,NHi_CalcCombYld_%,AlHi_CalcIcpYld_%,AsHi_CalcIcpYld_%,CaHi_CalcIcpYld_%,CdHi_CalcIcpYld_%,CoHi_CalcIcpYld_%,CrHi_CalcIcpYld_%,CuHi_CalcIcpYld_%,FeHi_CalcIcpYld_%,KHi_CalcIcpYld_%,MgHi_CalcIcpYld_%,MnHi_CalcIcpYld_%,MoHi_CalcIcpYld_%,NaHi_CalcIcpYld_%,PHi_CalcIcpYld_%,PbHi_CalcIcpYld_%,SHi_CalcIcpYld_%,SeHi_CalcIcpYld_%,TiHi_CalcIcpYld_%,ZnHi_CalcIcpYld_%,SlMinN_SoilSam_kgha,FertN_FertApl_kgha,AvailN_CalcNutAvail_kgha
361,1,1,Discarded,,,1.8,9.0,,2018-10-09,2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,2,Discarded,,,1.8,9.0,,2018-10-09,2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1,3,Hylux,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,56.30160387,486.897859,2.373,26.56111769,54.55172414,43.5,11.55,13.59304258,8.97,10.55,20.52,62.59788442,70.39720358,53.06969786,24.81051793,39.6347547,-0.142852908,218.55,2.139,0.002533598,,0.038028646,2.00046,8.14743,6.8768,0.000319955,0.003191917,0.383314871,0.082066803,0.002716772,1.99115,0.00170966,0.221776438,3.4876,0.140574168,,1.0988,0.002567005,0.4948,0.003571441,,0.36802499,2.0979,,1.64619,0.000162397,0.00438064,0.749495189,0.069047541,0.004491035,3.00813,0.003246425,1.1797,0.023101859,5.28358,0.120815224,2.86166,6.88959,0.000645305,1.42,0.002987119,,0.182231756,2.0434,,4.58766,0.000251104,0.00371137,0.543329797,0.076377594,0.003492096,2.43555,0.002381201,0.134958834,4.26856,0.131939826,,3.62888,0.001727253,247.14,0.292734124,,4.393862558,0.000231134,9.41361,0.007938442,0.03696783,0.368796813,44.28853055,9.482069104,0.313898143,0.002300587,0.197535556,25.62424085,0.004021702,16.24206049,,0.001268728,0.296593945,44.37,0.320275534,,33.00332101,0.000188133,,0.001476253,0.014563229,0.392841957,67.21236586,6.191965845,0.402741827,0.002697596,0.291129138,0.001057352,2.071701909,0.004738144,10.83432847,0.002566244,0.006178368,0.057868902,291.51,0.613009658,,37.39718357,0.000419267,,0.009414695,0.051531059,0.761638771,111.5008964,15.67403495,0.71663997,0.004998184,0.488664693,27.69594276,0.008759846,27.07638896,,0.007447097,0.354462847,84.77874029,47.75359081,,11.74918039,55.12814947,,84.31969251,71.73892972,48.42148633,39.72033587,60.4953934,43.80137254,46.02846553,40.42353752,92.51983611,45.91064496,59.98606578,,17.0365488,83.67419822,115.6930672,350.0,465.69
302,1,4,KWS Barrel,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,55.79738821,599.0811242,1.974,29.56465348,49.35,40.0,11.83,13.91277811,9.37,11.02,21.19,65.50304467,69.47965512,53.3784211,25.3941109,38.76783289,-0.172440981,217.11,2.102,0.0006599,,0.032779692,2.213,,2.1173,0.000354369,0.002446613,0.360707433,0.066319159,0.002501102,1.4839,0.00150967,0.198637489,1.9824,0.136368715,6.3835,,0.002250606,0.6027,0.003374253,,0.281744701,,,1.49742,0.000176366,0.004322018,1.111131098,0.068610718,0.004052839,2.00556,0.004409285,1.2011,0.03142669,3.84269,0.142453732,,5.76229,0.000640772,1.44,0.001859715,,0.142828728,,,1.8433,0.000275687,0.003275591,0.692414292,0.067332088,0.00318701,1.71253,0.002791375,0.124725949,2.76332,0.139058451,,,0.001539018,248.58,0.078038812,,3.876480965,0.000261706,,0.00250389,0.041907209,0.289333028,42.656761,7.84281176,0.295776902,0.001750691,0.178531447,23.49059413,0.00225666,16.12677519,0.007549033,,0.266153573,56.46,0.316114551,,26.39505683,,,0.001402844,0.016522755,0.404905216,104.095546,6.427747497,0.379687382,0.001878894,0.413080823,0.001125242,2.944187686,0.003599998,13.345679,,0.005398359,0.060030296,305.04,0.394153363,,30.27153779,,,0.003906734,0.058429963,0.694238244,146.752307,14.27055926,0.675464284,0.003629585,0.59161227,26.43478182,0.005856657,29.47245419,,,0.326183869,81.48998474,19.79909846,,12.80569554,,,64.09164452,71.72212041,41.67633092,29.06718257,54.95798461,43.78868123,48.23391668,30.17710351,88.86244756,38.53152823,54.71812794,,,81.5961787,115.6930672,350.0,465.69
303,1,5,Crusoe,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,54.16617281,629.8663406,1.828,28.78489177,45.7,40.0,11.51,13.54583142,9.74,11.46,21.26,71.57988698,63.76842055,59.43732873,24.72434639,34.54091287,0.121052669,188.9,2.404,0.000556605,2.97951,0.04025619,4.6441,2.9178,6.6574,0.000412794,0.003568859,0.340190311,0.0663858,0.002799299,2.8313,0.001618645,0.211002354,2.84181,0.155405153,,9.97867,0.00259107,0.5804,0.003079225,,0.356114701,,,1.03521,0.00021532,0.00380011,0.844563558,0.061700526,0.005138409,2.86923,0.003256187,9.01793,0.026794267,3.6399,0.126642311,0.000226367,6.2969,0.000507086,1.57,0.001712818,,0.185026234,,,4.0834,0.000322284,0.00367485,0.571363873,0.06423836,0.003871403,2.83342,0.002369193,0.126572738,3.19115,0.142222042,,3.42662,0.0016359,276.8,0.064087306,0.003430598,4.63508028,0.000534709,0.000335146,0.007664891,0.047528909,0.410916911,39.16936513,7.6436323,0.3223101,0.003227507,0.186370111,24.29471969,0.003272051,17.89328201,,0.00114894,0.298334654,56.55,0.300001856,,34.69544534,,,0.001008585,0.020978154,0.3702361,82.2839065,6.011341889,0.500623504,0.002795425,0.317242885,0.000878597,2.610504455,0.003511287,12.33847236,0.022054445,0.006134931,0.049404233,333.34,0.364089162,,39.33052562,,,0.008673476,0.068507062,0.781153011,121.4532716,13.65497419,0.822933605,0.006022932,0.503612996,26.90522415,0.006783338,30.23175437,,0.007283871,0.347738888,83.03635455,17.60209111,,11.78494365,,,88.37161234,69.37811547,52.6038952,32.25056403,55.97690771,39.16599085,53.58697439,37.00661274,90.29740678,48.23659138,59.18704482,,15.77375723,85.79272115,115.6930672,350.0,465.69
304,1,6,Graham,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,54.36962287,707.5244078,1.681,28.05067287,39.64622642,42.4,11.89,13.99233564,9.98,11.74,21.88,66.73144494,70.3918725,54.47537429,25.53932222,38.27179561,-0.139596724,212.01,2.133,0.000355448,,0.038394083,2.33119,,5.31749,0.000336087,0.003182905,0.362029193,0.06960484,0.0024447,1.88525,0.001271041,0.217395138,2.67382,0.142870118,6.31756,3.1663,0.002426609,0.5718,0.003382629,,0.352460548,,,1.9216,0.000149421,0.003884626,0.986664621,0.05217012,0.0045597,9.73349,0.003711523,1.13944,0.024859763,0.000136862,0.139315256,,5.83427,0.000553639,1.42,0.001736762,,0.181703795,,,3.76728,0.00025091,0.003503103,0.647052694,0.061649311,0.003409783,1.46915,0.002384642,0.129540521,7.69879,0.141248021,,2.67941,0.001571966,253.69,0.042275148,,4.566394583,0.00027726,,0.006324346,0.039972409,0.378558298,43.05788888,8.278441369,0.290760091,0.002242221,0.151171104,25.85585881,0.0031801,16.99223645,0.007513783,3.76551,0.288608396,57.08,0.337645715,,35.1817461,,,0.001916659,0.01491484,0.38775379,98.48643865,5.207493203,0.455138093,0.000971573,0.370475144,0.00113736,2.481440481,0.013661192,13.9061066,,0.005823621,0.05526285,310.76,0.379920863,,39.74814068,,,0.008241005,0.054887249,0.766312088,141.5443275,13.48593457,0.745898184,0.003213794,0.521646248,28.33729929,0.016841292,30.89834305,,0.005861276,0.343871246,81.63374004,11.12735628,,11.48832248,,,76.7424141,72.82640263,49.40001649,30.42007379,61.38574471,38.98120378,69.76866209,28.97962071,91.24320051,18.88275452,54.99400541,,0.642438209,83.92920301,115.6930672,350.0,465.69
305,1,7,Paragon,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,46.98084702,458.5462083,1.928,24.28783213,52.96703297,36.4,8.84,10.40090694,9.98,11.74,18.82,61.35714068,65.85737383,48.06778002,18.98411533,30.94035205,0.176148817,241.84,2.532,0.000609294,4.4231,0.045632643,9.63939,,4.58377,0.000455619,0.003560976,0.39849014,0.077118241,0.00358737,2.14546,0.002056279,0.264289014,2.87417,0.16199783,,,0.003012862,0.6203,0.004513173,,0.331278686,,,1.87288,0.000197192,0.00570113,1.103334354,0.044531322,0.004916027,3.5071,0.004397172,1.03747,0.028453828,9.33972,0.131703287,,9.81475,0.00068771,1.52,0.002679097,,0.197079756,,,3.14648,0.000318603,0.004695668,0.772192572,0.059840933,0.004291812,2.86739,0.003297401,0.139251196,6.3215,0.14593592,,,0.001780086,223.85,0.053866245,0.003910281,4.034277452,8.52197,,0.00405241,0.040280248,0.314817767,35.22960034,6.817847033,0.317151144,0.001896753,0.181790882,23.36518625,0.002540991,14.32185698,,,0.266360191,61.89,0.450281445,,33.05183488,,,0.001868581,0.019673958,0.568804516,110.0802025,4.442911576,0.490474363,0.003499048,0.438708005,0.001035092,2.838852214,0.009318285,13.1401007,,0.009792226,0.06861316,285.74,0.50414769,,37.08611234,,,0.005920991,0.059954206,0.883622283,145.3098029,11.26075861,0.807625507,0.005395801,0.620498888,26.20403846,0.011859276,27.46195768,,,0.334973351,78.34097139,10.68461599,,10.87813523,,,68.44141332,67.18502417,35.62809279,24.24447604,60.54518412,39.2695799,35.15238625,29.29753555,89.1663561,21.42618931,52.15162424,,,79.51683027,115.6930672,350.0,465.69
306,1,8,KWS Zyatt,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,54.3596643,662.2116723,1.697,25.83386685,39.01149425,43.5,11.24,13.22086127,9.44,11.1,20.67,68.9033167,64.42612453,56.68418646,24.13119901,35.02182502,0.058519396,201.72,2.349,0.000854749,,0.032638142,2.7957,,1.9311,0.000304872,0.002727321,0.306114728,0.061742057,0.00262321,1.68514,0.001138109,0.194908219,1.93598,0.147331169,,,0.002143758,0.6031,0.002671,,0.377398551,4.42346,,1.54495,0.000171347,0.004743013,0.974340603,0.063243244,0.005025966,2.54367,0.003200766,3.41135,0.027027528,3.67275,0.114105467,,4.26651,0.00051796,1.55,0.001683692,,0.18998795,3.53861,,1.75481,0.000243931,0.00364729,0.611095261,0.062427204,0.003719836,2.07697,0.002079513,0.118286908,2.72865,0.132166847,,,0.001401739,263.97,0.096054406,,3.667786952,0.000314173,,0.002170016,0.034260718,0.306489051,34.40035301,6.938406923,0.294789257,0.001893713,0.127897662,21.90326347,0.002175599,16.55668208,,,0.24090982,56.9,0.252013996,,35.60827752,0.000417362,,0.001457687,0.016166883,0.447512384,91.93090573,5.967121484,0.474209541,0.002399999,0.301998395,0.000321868,2.550099128,0.003465315,10.76606983,,0.004025533,0.048870551,320.88,0.348068402,,39.27606447,0.000731535,,0.003627703,0.050427601,0.754001435,126.3312587,12.90552841,0.768998798,0.004293712,0.429896057,24.4533626,0.005640914,27.32275191,,,0.289780371,82.26626696,27.59641646,,9.338478795,42.94707969,,59.81790665,67.940408,40.64833791,27.23027805,53.76305955,38.33416356,44.10433137,29.75083399,89.57158093,38.56820661,60.59668564,,,83.13531358,115.6930672,350.0,465.69
307,1,9,Solstice,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,46.94535407,543.1654252,1.835,25.36154085,46.69211196,39.3,9.97,11.725983,11.26,13.25,21.23,71.38229225,63.86829234,53.18569106,21.40269258,29.98319598,0.159865977,218.01,2.485,0.001405972,3.83167,0.042384658,8.1959,,2.33144,0.000333959,0.00343101,0.343851621,0.076248386,0.003386504,2.6392,0.001394298,0.234946586,,0.157477111,,,0.002735842,0.7523,0.003910088,,0.391343679,3.1898,,2.1281,0.000201748,0.00533532,1.031987309,0.056636862,0.006168616,3.31562,0.003183814,4.35175,0.03554596,0.000396323,0.123028717,,0.000114556,0.000651052,1.57,0.002734522,,0.227523631,1.72573,,2.22356,0.000263815,0.004441335,0.708939574,0.065843562,0.004862544,2.9987,0.002343719,0.12915529,,0.139200637,,,0.001629764,247.68,0.140134467,0.003819059,4.224515166,8.08289,,0.002323771,0.033285939,0.34197172,34.27198525,7.599741895,0.337535716,0.002630514,0.138970838,23.41732722,,15.69587835,,,0.27268374,84.74,0.44043871,,44.08159614,0.003583109,,0.002397131,0.022725209,0.600979181,116.244749,6.379669364,0.694843111,0.003734769,0.358630008,0.000490188,4.003955456,0.044642477,13.85815714,,0.012903772,0.073335583,332.42,0.580573178,,48.30611131,0.003663938,,0.004720901,0.056011148,0.942950901,150.5167343,13.97941126,1.032378827,0.006365283,0.497600846,27.42128268,,29.55403549,,,0.346019323,74.50824201,24.13726171,,8.745301686,2.20606719,,49.22303106,59.42734599,36.26612152,22.76955145,54.36381943,32.69494758,41.32595578,27.92817559,85.39836556,,53.10908676,,,78.80592849,115.6930672,350.0,465.69
308,1,10,Malacca,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,53.01509165,615.0594156,1.637,28.9325363,47.04022989,34.8,10.07,11.84532075,8.92,10.5,18.99,65.36378013,62.39205657,52.97025486,21.62051219,33.07720597,0.127632397,219.01,2.45,0.00085547,4.69881,0.041168548,4.55179,,2.59359,0.000407195,0.002978265,0.381396534,0.083372377,0.002994202,1.98177,0.001550186,0.256562761,3.68192,0.15327265,,5.07736,0.002671554,0.6468,0.003968674,,0.382377417,9.09166,,1.86233,0.000204871,0.00439376,0.813680777,0.060529762,0.005377016,1.75299,0.002916131,1.0323,0.032943316,8.66923,0.127389683,,8.28247,0.000652648,1.6,0.002318206,,0.201485222,2.8403,,2.251,0.000312133,0.003643334,0.584504889,0.072639796,0.004113765,1.87428,0.002191974,0.15149537,6.0252,0.141111562,,4.1669,0.001722973,246.68,0.086133182,0.004731003,4.145064582,0.000458298,,0.00261136,0.040998525,0.299867329,38.40099633,8.394366673,0.301471943,0.001995348,0.156080847,25.83207964,0.003707145,15.4322915,,0.000511215,0.268985976,57.72,0.354135988,,34.12061518,8.11274,,0.001661814,0.018281242,0.392067563,72.60703032,5.401241388,0.479806314,0.001564242,0.260214554,0.000921151,2.939625005,0.007735799,11.36734069,,0.007390685,0.058237657,304.39,0.440269169,,38.26567977,0.000539425,,0.004273174,0.059279767,0.691934892,111.0080267,13.79560806,0.781278257,0.003559589,0.416295401,28.77170465,0.011442943,26.79963219,,0.0079019,0.327223632,81.03915463,19.56375498,,10.83232967,84.96038427,,61.11054641,69.16107606,43.33750651,34.5929907,60.84810931,38.58701303,56.05555482,37.49281088,89.78293069,32.39677614,57.58396754,,6.469518248,82.20249058,115.6930672,350.0,465.69
309,1,11,Cadenza,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,51.3828115,395.176399,2.419,22.43971148,56.78403756,42.6,9.56,11.2462554,9.04,10.64,18.6,61.3799174,65.08530311,50.80451368,20.52707624,33.44265861,0.138745204,229.1,2.475,0.003466585,3.2549,0.043115458,4.03938,,2.29459,0.000385108,0.003374883,0.341444172,0.096271352,0.003835347,2.1336,0.001444539,0.261156871,3.27569,0.157667931,2.99619,,0.00275729,0.5445,0.0049847,1.71843,0.321251005,,,1.76415,0.000145878,0.004641889,0.870063494,0.063669929,0.006669636,2.1979,0.002732048,5.6644,0.023312207,4.26973,0.119625889,,8.69626,0.000534183,1.54,0.00420465,2.5565,0.178337141,,,2.0367,0.000268801,0.003990866,0.598444024,0.080421457,0.005213299,2.16419,0.00207049,0.145523482,3.75896,0.13917296,,,0.001676478,236.59,0.331381816,0.003107249,4.121543392,0.000386137,,0.00219347,0.036813664,0.322615758,32.63973105,9.202883821,0.366632952,0.002039056,0.138088107,24.96481338,0.003131332,15.07197744,0.002864158,,0.263578139,49.25,0.450856051,0.001554284,29.05650261,,,0.001595637,0.013194329,0.419849458,78.69548051,5.758816108,0.603255094,0.001987226,0.247108224,0.000512301,2.108541896,0.003861887,10.81991931,,0.007865595,0.048315795,285.84,0.782237866,0.004661534,33.17804601,,,0.003789107,0.050007993,0.742465216,111.3352116,14.96169993,0.969888046,0.004026282,0.385196331,27.07335527,0.006993219,25.89189676,,,0.311893934,82.77058007,42.36330533,66.65722823,12.42250189,,,57.88883954,73.61555978,43.45196939,29.31662912,61.50961365,37.8015745,50.64365309,35.8487596,92.21174519,44.77669385,58.21117543,,,84.50890209,115.6930672,350.0,465.69
310,1,12,Maris Widgeon,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,42.80868756,483.4235317,1.565,19.00899063,39.32160804,39.8,7.57,8.900680318,10.11,11.89,17.67,58.49211396,64.88034122,43.96126171,16.2458469,27.77442256,0.315371415,260.97,2.706,0.000808405,0.000144178,0.04281291,3.93329,,1.83854,0.000398619,0.003175898,0.303211319,0.071155758,0.003267929,1.8427,0.001614577,0.257690896,8.87561,0.178458806,,1.63428,0.002928641,0.6695,0.004109545,,0.468226564,7.06596,,1.33652,0.000242507,0.004932093,0.785297475,0.056139783,0.006307879,2.0242,0.002984548,1.56624,0.024856781,4.9554,0.130663358,,6.88557,0.00049773,1.54,0.00269637,,0.286112562,1.7242,,1.55143,0.000309336,0.004180289,0.578922719,0.062567925,0.005006516,1.92789,0.002398082,0.12453001,3.21381,0.151123962,,3.94494,0.001538371,204.72,0.061160501,0.010907892,3.239044222,0.000297576,,0.001390963,0.030157853,0.240275042,22.93968963,5.383344558,0.2472377,0.001365033,0.122152124,19.49580644,0.000671491,13.50144062,,1.23643,0.221568654,67.67,0.415368907,,47.3256216,7.14186,,0.001350873,0.02451116,0.498507296,79.37330779,5.674283209,0.637563773,0.002042124,0.3016608,1.5836,2.512379092,0.005008268,13.2066933,,0.00695953,0.05030761,272.39,0.476529408,,50.56466582,0.000304718,,0.002741836,0.054669012,0.738782338,102.3129974,11.05762777,0.884801473,0.003407157,0.423812924,22.00818553,0.005679759,26.70813392,,0.006971894,0.271876264,75.15758746,12.83457013,,6.405746325,97.65623562,,50.73108458,55.16443625,32.52311666,22.42109039,48.68444364,27.94273149,40.0636924,28.82218003,88.58434246,11.82253249,50.55179316,,0.177344751,81.49613762,115.6930672,350.0,465.69
311,1,13,Xi19,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,53.87147489,433.4792445,2.193,23.4142853,54.01477833,40.6,9.51,11.18376451,8.14,9.58,17.65,62.10027566,61.01755103,49.88941006,20.41301557,32.87105469,0.106296576,233.36,2.444,0.001434218,3.68191,0.043524051,3.69116,,4.95194,0.000423821,0.003578799,0.399219363,0.088655239,0.004057196,3.0921,0.001576151,0.259537193,2.6475,0.165405288,3.03714,,0.002874875,0.6986,0.004226467,,0.333531731,5.86378,,1.03584,0.000221446,0.00346035,1.047555438,0.068751665,0.006318757,4.6244,0.003533886,9.2433,0.02990508,1.07177,0.121302433,,5.23144,0.000484698,1.64,0.002722241,,0.177300316,4.69336,,3.1455,0.000330468,0.00352416,0.698287232,0.079474014,0.005100421,3.78778,0.002479225,0.153611286,1.45266,0.145061291,,,0.001772321,232.33,0.136339664,0.00035001,4.137483252,0.000350889,,0.00470741,0.040289268,0.340207792,37.95059041,8.427744181,0.385685179,0.00293762,0.14983202,24.67212419,0.002476128,15.72375717,0.002887162,,0.273291328,56.87,0.34402903,,27.14906014,0.000477304,,0.000843159,0.018025386,0.281668087,85.26968491,5.596298426,0.514338791,0.00374633,0.287653875,0.000752371,2.434235634,8.7249,9.873864267,,0.004258328,0.039453811,289.2,0.480368694,,31.28654339,0.000828193,,0.005550569,0.058314654,0.621875879,123.2202753,14.02404261,0.90002397,0.00668395,0.437485895,27.10635983,0.002563369,25.59762144,,,0.312745139,80.33685765,28.38229585,,13.22448185,42.36804924,,84.80950555,69.08943979,54.70670333,30.79898199,60.09496988,42.85276743,43.95035384,34.24842302,91.01968819,96.59663021,61.42663376,,,87.38467647,115.6930672,350.0,465.69
312,1,14,Riband,SFP,N350,1.8,9.0,1,2018-10-09,2019-09-01,53.61230119,531.4041647,1.827,25.15221266,47.33160622,38.6,9.71,11.42206363,8.4,9.88,18.11,61.24073004,63.49783537,47.86693417,20.84796784,34.04265075,-0.036179309,242.78,2.296,0.001439982,0.000119379,0.049550693,3.04762,,2.83952,0.000403333,0.002928216,0.393414499,0.074449515,0.003124457,2.79382,0.001452339,0.251511961,8.677,0.153591153,,,0.002601687,0.7414,0.004054225,,0.429026229,2.3357,,9.82174,0.000253239,0.004471746,1.120003147,0.064252242,0.00629994,2.21712,0.003582995,9.12248,0.039054082,1.28457,0.145698205,,6.86892,0.00063799,1.57,0.002652669,,0.225580662,2.7247,,1.97794,0.000333708,0.003644224,0.730462253,0.069719234,0.004597491,2.5263,0.002440701,0.15295764,1.05699,0.149929796,,,0.001690773,222.91,0.139804314,0.011590177,4.81075493,0.000295886,,0.00275682,0.039158646,0.284293304,38.19564629,7.228120288,0.303345889,0.002712452,0.141004034,24.41867777,0.000835027,14.91178732,,,0.25259143,62.28,0.340572644,,36.04007821,0.00019351,,0.000825069,0.021273147,0.375646231,94.08515915,5.397469134,0.529222455,0.00186248,0.300987234,0.000766328,3.280713579,0.001079094,12.23928596,,0.005770197,0.053593938,285.19,0.480376958,,40.85083314,0.000489396,,0.003581889,0.060431793,0.659939535,132.2808054,12.62558942,0.832568344,0.004574932,0.441991269,27.69939135,0.001914121,27.15107328,,,0.306185368,78.16192612,29.10304328,,11.77639367,60.45939738,,76.96552358,64.79808688,43.07868959,28.87467019,57.24976511,36.43495352,59.28945492,31.90199544,88.15600842,43.62458865,54.92153906,,,82.49624467,115.6930672,350.0,465.69
